,A
622,"유로파 목성계 임무 - 라플라스(영어: Europa Jupiter System Mission – Laplace, 줄여서 EJSM/라플라스)는 미국 항공우주국과 유럽 우주국이 2020년대 목성의 위성인 유로파와 가니메데, 목성의 자기권을 탐사하기 위해서 발사하기로 계획했던 무인 우주선들이다. 탐사 계획은 목성계의 통합 연구를 수행하기 위해서 최소한 두 탐사선, 미국 항공우주국의 목성 유로파 궤도선과 유럽 우주국의 목성 가니메데 궤도선을 발사하기로 계획되었었다. 일본 우주항공연구개발기구와 러시아 연방 우주국은 유로파 목성계 임무에 관심을 보였지만, 어떠한 세부 사항도 협의되지 못했다. 목성 가니메데 궤도선은 약 1억 달러(710만 유로)가, 목성 유로파 궤도선은 약 4억 7000만 달러가 각각 필요할 것이라고 예상되었었다. 2011년 4월, 유럽 우주국은 미국 항공우주국에 주어진 예산으로 미루어 보았을 때 2020년경 미국과 유럽의 공동 탐사는 힘들다고 언급했고, 목성 가니메데 궤도선의 설계를 기본으로 한 목성 얼음 위성 탐사선 계획을 시작했다. 2012년 5월 2일, 목성 얼음 위성 탐사선을 유럽 우주국의 ""Cosmic Vision"" 계획 내의 탐사선으로 하여, L1 발사장에서 발사한다는 계획이 발표되었다."
623,"영화ㆍ텔레비전 기술자 협회(Society of Motion Picture and Television Engineers, SMPTE)는 1916년 미국에 설립된 국제 전문가 단체로, 영화 산업에 종사하는 기술인들이 주축이 된다. 국제적으로 저명한 표준화 기구인 SMPTE는 600개 이상의 표준을 가지고 있다. SMPTE 표준 문서들은 저작권의 보호를 받으며 SMPTE 웹사이트나 다른 기술 문서 배포 기관으로부터 구매가 가능하다. 표준 문서들은 일반 사용자가 구매할 수 있다. SMPTE가 공표한 중요한 표준들은 다음을 포함한다. 디지털을 포함한 모든 영화 및 텔레비전 전송 포맷, 미디어  텔레비전 신호 및 관련 데이터의 전송을 위한 물리 인터페이스 (SMPTE 타임 코드, 시리얼 디지털 인터페이스) (SDI)  SMPTE 컬러 바  테스트 카드 패턴 및 기타 진단 도구  MXF  관련 조직은 다음을 포함한다:  NTSC (National Television System Committee)  MPEG (Moving Picture Experts Group)  ITU-R (ITU Radiocommunication Sector, 과거 이름: CCIR)  ITU-T (ITU Telecommunication Sector, 과거 이름: CCITT)  디지털 비디오 방송  BBC 연구 개발  유럽 방송 연맹 (EBU)"
624,"지상 1층 ~ 2층은 공용부, 3층 ~ 30층은 아파트, 31층은 설비층(주민공동시설 포함), 32층 ~ 58층은 아파트, 59층은 설비층(주민공동시설 포함), 60층 ~ 80층은 아파트, 맨 위층에는 기계실 3층이 있다. 101동의 지상 1층 ~ 55층이랑 똑같고 32층 ~ 55층은 아파트, 56층은 설비층(주민공동시설 포함), 57층 ~ 75층은 아파트, 맨 위층에는 기계실 세층이 있다. 102동의 지상 1층 ~ 70층이랑 똑같고 57층 ~ 70층은 아파트, 맨 위층에는 기계실 세층이 있다. 부산 해운대 마린시티에 위치한 해운대 두산 위브 더 제니스의 잔금 완납률이 준공 승인 이후 1개월 만에 65%를 기록하였다. 해운대 두산위브더제니스는 대한민국 부산광역시 해운대구 우동(우동 (부산)) 마린시티 일원에 건설된 초고층 고급 아파트이다. 3개의 마천루로 구성되어 있으며, 101동, 최고 80층, 301m, 102동 75층, 265m, 103동 70층, 255m이다. 특히 101동은 지상 80층, 301m의 높이로 2011년부터 2014년까지 대한민국에서 가장 높은 빌딩이었으며, 세계에서도 호주의 Q1 타워(Q1 (건물))에 이어 두 번째로 높은 주거용 건물이다."
625,"중학교 1학년 때부터 권투를 시작했으며, 실업팀 아마추어 권투선수 시절에 100전이 넘는 경기를 가진 베테랑이다. 아마추어 선수시절 탄탄한 기본기술을 익혀, 신인왕전 당시 라이트급 우승후보로 거론되었다. 2009년 1월 29일 프로 데뷔. 2009년 3월 4일 35회 신인왕전 결승전에서 정병호를 2라운드만에 KO승으로 이김으로써 라이트급 신인왕이 되었다.정확하고 강한 펀치가 특기이다.[1]  [2]"
626,"20세기 화학 분야에서의 가장 큰 성과는 인공적인 고분자화합물의 대량생산에 성공한 것을 꼽을 수 있다. 20세기 초 레오 베이클랜드가 페놀과 포름알데히드를 반응시켜 베이클라이트를 합성한 이후 다양한 플라스틱이 개발되어 생활 전반에 사용되게 되었다. 1933년 영국에서sms 폴리에틸렌을 합성하여 다양한 형태의 물건을 만들었고, 1935년 윌리스 캐러더스가 나일론을 발명하였다. 20세기에는 여러 가지 새로운 기술을 바탕으로 한 도구들이 등장하였다. 비행기, 냉장고, 라디오, 텔레비전, 인공위성, 이동통신, 컴퓨터 등 20세기의 발명품들은 오늘날에도 일상 생활에 큰 영향을 주고 있다."
627,"미군정기(한국의 군정기)와 제1공화국(대한민국 제1공화국)의 야당 정치인이었으며 국회의장 이승만의 비서관과 서울특별시장, 상공부 장관, 대한적십자사 총재 등을 거쳐 제2공화국(대한민국 제2공화국)에서 대통령(대한민국의 대통령)에 선출되었다. 1961년 5·16 군사정변 이후 대통령 사퇴성명을 발표했다가 민주당 정권(대한민국 제2공화국)이 붕괴되었음에도 불구하고 그는 군부에서 대통령직에 있어달라는 요구를 수락, 사퇴성명을 번복했다. 1962년 3월 하야 이후부터는 반독재 야당 지도자로 활동하였으며, 박정희를 군부 내 좌익 프락치라고 규정하여 화제가 되기도 했다. 제5대 대통령 선거(대한민국 제5대 대통령 선거)과 제6대 대통령 선거(대한민국 제6대 대통령 선거)에 출마하였으나 낙선하기도 하였다. 이후 한일회담 반대운동, 민주회복국민선언, 명동구국선언 등에 참여하였으며, 군사정권하에서 여러번 기소와 재판에 회부되었다."
628,"만약 사용자가 변경을 원하면 그것에 “물질”을 추가, 감소, 객체나 특징을 삭제하고 시작해야 한다. 이래서 완제품이 정확하게 표현되는한 사용자가 얼마나 요소를 생성하였는가는 문제가 되지 않는다. 만약 추후에 수정이 된다면 그 방법은 원래의 부품이 아닌 대부분의 경우 새로운 수정에 사용되는 과정의 영향을 미치는 데 사용된다. 도면 뷰는 모델로부터 쉽게 생성할 수 있다. 조립은 일반적으로 쉽게 요소의 이동, 움직임의 제한, 요소사이의 간섭 확인을 가능하게 하는 도구를 포함하지 않는다. 3D 매개 공간 모델링 (앨리버 디자인, 솔리드웍스, 솔리드에지가 표함된 기술을 통합하는 프로그램)은 사용자가 “디자인 의도”처럼 무엇이 의미하여 사용하되게 요구된다. 생성된 객체와 특징은 조정 가능하다."
629,"그에 따르면 산세리프체는 디자인에서 장식적으로 부족함이 없을 뿐만 아니라, 네 가지의 굵기 변화와 그에 상응하는 이탤릭체를 갖춘 서체이며, 전통적인 서체들에 비해 더 완성된 것이었다. 활자들은 꾸밈이 없이 기본형이어야 하며, 따라서 무게감(가늘은, 중간 굵기, 굵은, 아주 굵은, 이탤릭)과 비례(장체, 정체, 평체)를 모두 포함한 산세리프체가 바로 현대적인 활자이다. 신 타이포그래피의 기본 글꼴은 산세리프 서체와, 이를 변형한 서체들-라이트, 미디움, 볼드, 컨덴스드, 엑스펜디드-가 포함된다. 치홀트는 고전 타이포그래피가 가진 레이아웃의 문제에 주목했다. 내용과 전혀 관련 없는 딱딱한 구성의 대칭형 조판을 거부하면서, 기계 구성과 그것이 인쇄와 디자인 과정에 미치는 영향을 강조했다. 기존의 가운데 정렬(증축) 타이포그래피는 조판 기술의 제약으로 형성된 결과이지 순수한 형태가 아니다. 따라서 단어의 의미 이전에 존재하는 텍스트의 순수한 형태를 찾아 레이아웃을 해야 한다는 것이다."
630,"가마다 준코의 빈 자리가 큰 앨범이지만 그대신 보컬 샘플링과 다양한 객원보컬을 사용하였다. 2010년에는 보컬리스트 마츠다 토모미와 함께 트로피코 Q라는 이름의 프로젝트를 결성했다. 트로피코 Q는 주로 고전 락을 커버한 피코팝을 선보였다. 이밖에도 영국 코카콜라와 파워에이드 광고에서 <early RISER>가 배경음악으로 쓰이기도 했다. 영국 BBC Three의 다큐쇼 《애덤과 조 도쿄에 가다》에서도 출연하였으며 《보글보글 스폰지밥 극장판》의 OST도 맡은 경력이 있다. 한편 일본의 리듬게임 <팝픈뮤직 14 피버>에 곡이 수록되기도 하였으며, 애니메이션 <뿌까>의 테마송을 작곡하고 녹음한 바 있다. 2007년에는 비디오게임 <댄스 댄스 레볼루션 유니버스> 에 <TEST ROOM>이 수록되었다."
631,"에버노트(Evernote)는 2008년 출시된 메모용 스마트폰 애플리케이션이다. 구글 크롬, 모질라 파이어폭스, 아이폰, 안드로이드, 윈도우 폰, 윈도우, OS X와 같은 다양한 플랫폼에서 실행된다. 한 기기에서 메모를 작성할 경우, 다른 플랫폼끼리 메모 동기화가 가능하다. 녹음, 파일 첨부, 사진 저장, 저장한 메모에 대한 위치 정보 추가, 태그에 따른 메모 분류, 키워드에 따른 메모 검색, 텍스트, 이미지 및 링크를 포함하여 웹 페이지의 일부 또는 전체를 스크랩하는 클리핑 기능을 제공한다. 에버노트는 무료(베이직) 사용자에게 매 달 최대 60MB의 용량을, 플러스 사용자에게 1GB, 프리미엄 사용자에게 10GB를 제공한다.노트 애플리케이션 분야 세계 점유율 1위를 점하고 있으며, 2014년 5월 에버노트사는 자사의 블로그를 통해 1억명의 사용자를 돌파했다고 발표했다. 아시아-태평양 지역이 3500만으로 가장 많고, 중동과 아프리카와 유럽에서 3100만, 미국과 캐나다에서 2700만, 남미에서 800만의 사용자가 사용한다. 2015년 7월에는 1억 5천만명의 사용자를 돌파하였다."
632,"오도아케르(Odoacer, 435년 ~ 493년) 혹은 오도바카르(Odovacar), 게르만식으로 아우다바크르(Audawakr)는 초대 이탈리아왕(재위 480-493)이다. 훈족과 스키리아인의 피가 반씩 섞인 헤룰리족으로, 476년 서로마 제국의 마지막 황제 로물루스 아우구스투스를 쫓아내고 서로마를 멸망시켰다. 로물루스 아우구스투스는 나폴리 만의 루쿨라눔(Lucullanum)에 유배되었으며, 그의 최후는 알려져 있지 않지만 511년까지는 살아남았다. 한편 그의 전임이였던 율리우스 네포스는 스스로 다시 로마 황제를 자처함으로써 갈리아 지역 에서는 영향력을 발휘하지 못하였다. 로물루스를 떨어트린 뒤 오도아케르는 이전의 리키메르(Ricimer) 등이 했던 것과 달리 또다른 허수아비 황제를 세우지 않고 동로마 제국의 섭정이 되어 서로마를 직접 통치하기로 결정했다. 동로마 제국을 받들어 스스로 파트리키우스라는 칭호를 썼다. 그러나 오도아케르와 동로마의 관계는 그리 좋지 않아, 489년 동로마의 제논 황제는 동고트족의 테오도릭 대왕에게 군권을 위임, 오도아케르를 정벌하게 했으며 결국 라벤나가 함락되면서 493년 오도아케르는 테오도릭의 손에 살해되었다."
633,"약칭은 '카미메모'. 도심의 번화가(시부야로 밝혀짐)와 그 주변의 고등학교 등을 무대로, 고등학생인 주인공 후지시마 나루미와 고용주인 탐정 앨리스, 탐정을 서포트하는 니트(니트족)들이 활약하는 미스터리 소설 시리즈이다. 라이트 노벨로는 드물게, 마약·야쿠자 등 현실적·도시적인 위협을 그리고 있다. 나루미가 다니는 고등학교, 앨리스의 탐정 사무소 등이 있는 도시는 도쿄 도심부라는 것만 알려져 있지만, 고등학교 옥상에서 멀리 도청(도쿄 도청)이 보이는 것, 파르코 근처에 클럽 콰트로(CLUB QUATTRO)가 있다는 내용, 도큐 플라자, 센터 거리(시부야 센터 거리), 역 근처에 있는 홈리스 공원(미야시타 공원) 등의 존재로 추측된 대로, 후에 저자가 작품의 무대가 시부야임을 밝혔다. 공식적인 줄거리로는 '니트 틴 스토리'로 소개되고 있다. 작중에 등장하는 많은 인물들은, 취학하지 않고 취업하지 않고 직업 훈련도 받지 않는, 즉 니트라는 것이 큰 특징이다. 또한, 'NEET TEEN(니트 틴)'은 원래 이 작품의 가제였으며, 영어 회문으로 만들어졌고, 현재  이름으로 사용되고 있다."
634,"낮에는 땅 속에 숨어 있다가 밤에 나와서 활동한다. 주로 졸참나무, 상수리나무의 수액을 먹으며 산다. 성충은 6-8월에 나타나며, 짝짓기를 한 후 썩은 가랑잎이 쌓인 부엽토나 짚두엄 밑에 알을 낳는다. 유충은 자라는 동안 두 번 탈피를 한 뒤 월동한다. 다음해 초여름에 땅 속으로 들어가서 번데기가 되었다가, 총 3령의 유충 단계를 거쳐서 15~20일 뒤에 성충으로 우화한다. 한국·중국·일본·타이완·동남아시아 등지의 낙엽수림지에 분포한다. 애완곤충으로 매우 인기가 많다."
635,"산화 마그네슘(MgO)을 비롯한 여러 가지 마그네슘 화합물은 제철 및 비철 금속의 제련, 유리와 시멘트의 제조에서 용광로의 내화(耐火) 물질로 사용된다. 또, 엽록소의 성분 중 마그네슘을 공급하기 위해 비료로 사용되기도 한다. 산화 마그네슘을 물에 녹이면 불용성의 수산화 마그네슘(Mg(OH))이 생성되며, 이는 제산제와 완하제로 사용된다. 아황산 마그네슘(MgSO)은 종이 제조 공정 중 아황산법에 쓰이며, 황산 마그네슘 7수화물(수화물)(MgSO·7HO)은 공업적으로 시멘트와 비료 생산, 염색에 사용된다. 피부에 생긴 찰과상에 바르는 치료제로 사용된다. 물에 잘 녹지 않는 탄산 마그네슘(MgCO)은 일부 페인트나 잉크의 제조에 이용되며, 물에 잘 용해되지 않으므로 마그네슘 이온을 포함하는 센물을 보일러 용수로 사용하면 관석의 성분이 될 수 있다. 식염에 첨가하면 수분 흡수를 줄여주기도 하며 그 분말은 습기를 제거하는 데 쓰여 역도 선수나 등반가들이 역기나 암반을 더 잘 잡을 수 있도록 돕는다."
636,"호세 나사시 야르사(스페인어: José Nasazzi Yarza, 1901년 5월 24일 ~ 1968년 6월 17일)는 우루과이의 축구 선수이다. 1930년 우루과이 월드컵에서 우루과이 대표팀의 주장을 맡았었다. 그는 우루과이 축구계의 영웅이라 불린다. 우루과이는 1930년 월드컵 토너먼트에서 페루와 루마니아를 꺾은 후, 준결승전에서 유고슬라비아를 6-1로 이겼다. 결승전에서 아르헨티나를 만났는데, 전반전까지 2-1로 뒤지고 있었다. 그러나 나사시는 동료들을 이끌었고, 결국 4-2로 역전승했다. 비록 1934년 이탈리아 월드컵에서는 우승하지 못했으나, 1935년 코파 아메리카를 우승했다."
637,"한편 노리요리의 원정군은 군량이나 병선 조달에도 어려움을 겪는 등 진군이 정체되고 있었다. 이에 요시쓰네는 고시라카와 법황에게 서쪽 출진을 허락해줄 것을 요청해 허락을 얻었다. 겐랴쿠 2년(1185년) 2월에 새로운 군을 편성한 요시쓰네는 폭우를 뚫고 소수의 배만으로 출격, 보통 사흘이 걸리는 거리를 불과 몇 시간만에 주파하여 시코쿠 사누키 국의 세토나이카이에 있던 헤이시의 거점 야시마(屋島)를 기습한다. 산이며 민가까지 불태워버리면서 소수의 군사를 대군으로 부풀려 보이게 하는 작전이었고, 겁을 먹은 헤이시는 도망쳐버렸다. 노리요리도 규슈 도해에 성공하여, 헤이시 최후의 거점이었던 나가토 국 히코시마의 배후를 차단했다. 요시쓰네는 수군을 편성해 히코시마로 진격했는데, 음력 3월 24일에 단노우라(壇ノ浦)의 싸움(단노우라 전투)에서 승리하여 헤이시를 멸망시켰다. 숙원을 이룬 요시쓰네에게 전승을 치하하는 법황의 칙사가 당도했고, 이치노타니나 야시마 등지에서의 공훈자로서 헤이시로부터 빼앗은 삼종신기(검은 물속에 가라앉아버렸다)를 받들고 4월 24일에 교토로 개선한다."
638,"1989년부터 1990년대 초까지 텔레비전 뉴스 프로그램 감독으로 일했으며, 1997년부터 일본 APF 통신의 계약 기자로서 활동하면서 이스라엘-팔레스타인 분쟁, 이라크 전쟁, 아프가니스탄 공중 폭격 등을 현지 취재한 경력이 있다. 2007년 9월 27일, 그는 타이 방콕에서 취재하던 도중에 미얀마 사태가 악화되자 미얀마에 입국했었다. 미얀마의 양곤에서 2007년 미얀마 반정부 시위 현장을 촬영하다 시위를 진압하기 위해 투입된 군인이 발사한 총알을 가슴에 맞았지만 끝까지 카메라를 들고 사진을 찍으려고 하다가 사망했다. 일본 정부는 고의 사격 의혹을 주장하고 있으며, 미얀마 정부는 나가이 겐지의 사망에 대해 사과했다. 향년 51세  2007년 11월 29일 대한민국 서울 프레스센터에서 열린 '제2회 AJA 올해의 언론상' 수상식에서 수상자로 선정됐다. 그의 1주기의 다음날인 2008년 9월 28일, 마이니치 신문은 동사가 입수한 미얀마군의 기밀문서를 인용하여 군 당국이 병사들에게 시위 현장에 있는 카메라 소지자를 총으로 쏘도록 지시한 사실을 보도했다. 나가이에 대한 총격이 우발적인 것이 아닌, 미얀마군의 조직적인 지령에 의한 것임이 밝혀진 것이다."
639,"간경변(肝硬便, 영어: Cirrhosis)은 만성적인 간 질병으로, 간의 조직 세포에 문제가 생겨 간이 굳고 오므라드는 것이 특징이다. 간경화, 간섬유증으로도 부른다. 손상된 조직이 재생함으로 말미암아 혹이 생기며, 이로써 간의 기능이 쇠약해진다. 또, 온몸이 쇠약해지며 빈혈을 일으킬 수 있다. 알코올 의존증, B형 간염, C형 간염, 비알코올성 지방간 질환으로 인해 발병하는 것이 일반적이지만 그 밖의 다른 원인도 수없이 많다. 일부는 원인을 알 수 없는 특발성 질환이다. 복수(腹水)가 차는 것이 일반적이며 낮은 삶의 질, 감염 위험의 증가 등과 관련된다."
640,"동쪽은 용인시와 안성시, 북쪽은 오산시, 화성와 접하고, 남쪽은 아산만을 경계로 남쪽으로 충청남도 아산시와 천안시, 당진시와 경계를 이룬다. 행정구역은 4읍 5면 13동이다. 시청은 비전동에 있다. 평택시는 크게 남부, 북부, 서부의 3개 권역(평택시의 행정 구역)으로 나눌 수 있는데, 북부 3면·7동(옛 송탄시 지역 등)의 민원을 담당하는 송탄출장소가 서정동(서정동 (평택시))에, 서부 3읍·2면의 민원을 담당하는 안중출장소가 안중읍에 각각 설치되어 있다. 평택시는 경기도의 남단에 위치하며, 동쪽은 안성시에 남쪽은 충청남도 천안시, 아산시에 접하며, 서쪽은 아산만, 서북은 화성시, 동북은 오산시, 용인시에 접하고 있다. 동서간으로 33.4 km이며, 남북으로 32.9 km의 길이이다. 지질은 주로 화강편마암으로 되어 있다."
641,"다섯 명의 소녀들은 금세 절친한 친구 사이가 되어 '윙스 클럽'을 결성한다. 매직스에는 블룸이 다니는 알피아 요정학교 이외에도 소년들이 공부하는 레드파운틴(붉은샘학교)와 마녀들이 공부하는 클라우드타워(구름타워) 등이 있었다. 블룸은 클라우드타워(구름타워)의 마녀인 아이시, 달시, 그리고 스토미와 마주치게 되는데... 윙스 클럽의 요정들은 여름방학을 보내고 ‘알피아’ 마법학교에서 두 번째 학년을 맞게 된다. 새롭게 등장한 요정 ‘래일라’는 윙스 클럽에게 자신의 ‘픽시(요정들과 결속되어 있는 꼬마요정)’를 구조해 달라고 부탁한다. 마왕‘다카르’는 ‘픽시마을’의 위치를 알아내기 위해 ‘픽시’들을 인질로 잡고 있다. ‘오메가 디멘션’으로 추방당했던 ‘트릭스(아이시, 달시, 스토미)’는 ‘발터’와 함께 탈출한다."
642,"현재 네덜란드 국가대표 감독으로 초청받았다. 더 흐라프스합에서 보조 코치로 지도자의 가능성을 보인 후 1983년부터 1987년까지 PSV 에인트호번의 보조 코치를 지냈으며, 1987년에는 PSV의 감독이 되었다. 1988년 팀 창단 이래 최초로 UEFA 챔피언스 리그의 우승과 유럽 축구 역사상 3번째의 트레블을 달성하며 팀을 AFC 아약스, 페예노르트와 함께 네덜란드 축구 리그의 3강의 위치에 올려놓았다. 또한 1987년부터 1990년까지 팀에 두번의 네덜란드 1부 리그(에레디비시) 타이틀과 한번의 준우승을 안겼다. 1990년 터키 프로 축구 팀 페네르바체(페네르바체 SK)의 감독으로 잠시 재임했지만 1년 후 그만두고 스페인의 강호 발렌시아 CF의 감독으로 갔다. 히딩크는 여기서 의견을 서슴없이 말하는 성격을 드러냈다. 한번은 경기 중 발렌시아의 메스탈라 스타디움에 인종 차별적 구호가 적혀 있자 경기 중에 이를 없애도록 지시했다."
643,"축구에서 골키퍼(영어: Goalkeeper 줄여서GK)는 손을 사용할 수 있는 유일한 포지션이고, 핸드볼에서는 유일하게 발을 사용할 수 있는 포지션이다. 축구에서 골키퍼는 최후의 방어막으로, 손을 보호하기 위해 두꺼운 라텍스 장갑을 낀다. 다만 축구의 골키퍼의 경우 페널티 라인 안에서만 손을 사용할 수 있으며 페널티라인 밖에서 손을 사용할 경우 다른 선수들과 마찬가지로 반칙 처리가 된다. 이렇게 하는 이유는 골키퍼가 공을 들고 상대방 골대까지 달려가서 손으로 골을 넣는 경우가 발생하기 때문이다. 오늘날에는 이케르 카시야스, 클라우디오 브라보, 다비드 데 헤아, 케일러 나바스, 티보 쿠르트와, 잔루이지 부폰, 페트르 체흐, 조 하트, 마누엘 노이어, 살바토레 시리구, 팀 하워드, 로만 바이덴펠러, 페페 레이나, 빅토르 발데스, 마르크-안드레 테어 슈테겐, 줄리오 세자르, 야스퍼 실러선, 위고 료리스, 얀 오블락 등이 대표적인 골키퍼로 손꼽힌다. 은퇴한 골키퍼 중에는 에드윈 반 데 사르, 예지 두덱, 디다, 올리버 칸, 레프 야신 등이 유명하다."
644,"한화 이글스(Hanwha Eagles)는 대한민국의 대전광역시와 충청남도, 충청북도를 연고지로 하는 KBO(KBO (야구)) 소속 프로야구(KBO 리그) 팀이다. 홈 구장은 대전광역시 중구(중구 (대전광역시)) 부사동의 한화생명 이글스 파크이다. 제2경기장은 충청북도 청주시 청주야구장이고, 2군･3군 홈구장은 충청남도 서산시 서산야구장이다. 현재와 같은 지역을 연고지로 1986년 3월 8일 빙그레 이글스란 이름으로 창단되었다. 1993년 11월 1일 구단 이름을 한화 이글스로 변경하였다. 1999년 한국시리즈에서 창단 이래 처음으로 우승하였다. 한화그룹의 기반 업종을 본뜬 다이너마이트 타선이라는 별명이 있다."
645,"경복궁 자경전은 왕비의 정침인 경복궁 교태전의 동쪽에 자리잡고 있다. 왕이 승하하면 교태전에 있던 왕비는 대비(大妃)로 승격되어 정침인 교태전을 새로 중전이 된 왕비에게 물려주게 되는데, 이때 대비가 주로 사용하던 곳이 자경전이다. 현재의 자경전은 경복궁을 재건하면서 고종 2년(1865년)에 자미당(紫微堂) 터에 조대비(趙大妃, 神貞翼皇后)를 위해 지은 것이다. 준공 후 고종 10년(1873년) 12월 화재로 인해 고종 13년 다시 세웠으며, 다시 불에 탄 것을 고종 25년(1888년)에 재건하였다. 현존하는 침전 가운데 옛 모습을 간직한 유일한 건물이다."
646,"2011년 4월에는 케샤의 첫 리믹스 앨범 I Am the Dance Commander + I Command You to Dance: The Remix Album을 발매했다. 2012년 12월 4일 케샤는 두 번째 정규 앨범 Warrior를 발매 후, 앨범의 첫 싱글 ""Die Young""을 2012년 9월 25일 발매했다. 현재 복잡한 소송과 섭식장애와 같은 정신적 이유로 3년가까이 활동을 하지않고있다. 세 번째 앨범 Rainbow 2017년 8월 11일에 발매된다고 알리며 활동을 시작할 기미를 보였다. 첫 번째 싱글인 Praying을 발매되면서 활동을 시작했다.7월 13일에는 두 번째 싱글인 Woman이 7월 23일에는 Learn To Let Go를 발매했다. 케샤는 마돈나, 데비 해리, 퀸(퀸 (밴드)), 조니 캐쉬, 아론 네빌, 밥 딜런 그리고 비스티 보이즈, 벨벳 언더그라운드, 토킹 헤즈, 블론디와 같은 음악가들에게 영감을 받았다. 케샤는 딜런의 Nashville Skyline을 가장 좋아하는 음반으로 꼽았고 케샤의 데뷔 음반 Animal은 비스티 보이즈의 음반 Licensed to Ill에서 영향을 받았다고한다."
647,"《베이비 길들이기》, 혹은 《아이 양육》 (영어: Bringing Up Baby)은 하워드 혹스가 감독하고 캐서린 헵번과 캐리 그랜트가 출연하였으며, RKO가 제작한 후 1938년에 개봉한 미국의 스크루볼 코미디 영화이다. 이 영화는 정신없는 여자와 베이비라는 이름을 가진 표범 때문에 수많은 곤경을 겪는 고생물학자에 대한 이야기이다. 영화의 극본은 두들리 니콜스와 하갈 와일드가 원래 1937년 4월 10일에 콜리어스 위클리에 개제된 와일드의 단편 소설을 다시 각색한 것이다. 원고는 특별히 헵번을 위해 쓰여졌기 때문에, 그녀가 맡은 역할은 원래 성격과 잘 맞았다. 영화는 1937년 9월에 촬영이 시작되어 1938년 1월에 종료되었는데, 제작비와 예상 촬영 기간을 모두 초과하고 말았다. 제작 기간은 헵번과 그랜트 사이의 끝없는 개그 대사들을 조절하기 위하여 자주 연기되었다. 헵번은 코미디 연기에 대해 많은 걱정을 하였고, 보드빌에 경력을 쌓아온 동료 배우 월터 커틀렛에게 많은 도움을 받았다."
648,"윌리엄 매코드 허트(영어: William McChord Hurt, 1950년 3월 20일 ~ )는 미국의 영화 배우이다. 연극배우로서 무대 경험을 키워왔으며 35편 이상의 영화에 출연한 중견 배우로서 수많은 수상 경험을 가지고 있다. 줄리어드 학교에서 음악과 드라마를 전공하고 1980년 《상태개조》로 데뷔했다. 그가 주연한 영화들 중에는 로런스 캐스던의 에로틱 스릴러 《보디 히트》와 《빅 칠》과 같은 80년대 최고의 영화가 있다. 제임스 브룩스의 방송국 코미디 《브로드캐스트 뉴스》로는 아카데미와 골든 글로브에 노미네이트되었고 《작은 신의 아이들》로도 아카데미 남우주연상 후보에 올랐다. 헥토르 바벤코 감독의 《거미여인의 키스》로 1985년 아카데미 남우주연상과 영국 아카데미, 칸 영화제 남우주연상을 받았다. 2006년에는 데이비드 크로넌버그 감독의 《폭력의 역사》로 아카데미 남우조연상 후보에 올랐었다."
649,"좌투수 박정진이 방출 직전에 한대화 감독에 의해 다시 중용되어 준수한 활약을 하였다. 갑작스러운 팀 리빌딩을 이유로 시즌 후 몇몇 선수들을 대거 방출하여 논란을 일으키기도 했으며, FA를 선언한 포수 이도형(이도형 (야구인))과 투수 최영필과도 계약하지 않았다. 1999년 한국시리즈 우승 멤버였던 강타자 이영우(이영우 (야구인))는 부진 끝에 결국 현역에서 은퇴했고, 마지막까지 레전드로 남았던 투수 구대성도 KBO를 떠났다.. 2011년 한화 이글스는 리빌딩의 핵심 주전 타자인 김태완(김태완 (1984년)), 송광민, 정현석(정현석 (야구 선수)) 등이 병역을 이행하게 되어 전력이 더 약화되었다. 2010년에는 선수 관리에 심각한 구멍을 보이며 시즌 중 내야수 송광민이 현역 입대를 하는 촌극을 벌였다. 그 때 부상을 안고 있었던 송광민은 훈련소에서 귀가 조치를 받은 후 수술을 받아 시즌을 마감한 후 이듬해 재검을 받고 공익근무요원으로 입대하는 등 큰 진통을 겪었다. FA를 선언하여 일본 소프트뱅크(후쿠오카 소프트뱅크 호크스)에 이적했다가 2011년 국내 복귀를 타진하였던 내야수 이범호를 KIA 타이거즈에 빼앗기게 되면서, 3루수 딜레마와 동시에 프런트의 무능력한 구단 운영으로 이글스 팬들로부터 강한 비판을 받게 되었다."
650,"일제강점기 당시 1920년 조선총독부 재무국에서는 홍삼전매령을 공포한 후 1921년 담배전매령, 1942년 소금전매령을 각각 공포해 전매제도의 기틀을 마련하였다. 해방 후 조선총독부 재무국에서 담당하던 전매제도는 1948년에 대한민국 재무부(대한민국 지식경제부) 전매국이 담당하게 되었다. 그 후 전매국은 1951년 외청인 전매청으로 승격되었으며 서울특별시 종로구 종로5가에 청사를 마련하였다. 한편 전매청과는 별도로 재무부(대한민국 재무부)에서는 주식회사 한국홍삼공사(株式會社韓國紅蔘公社)를 1948년 12월에 설립하였다가 1949년 7월 7일 폐지하였다. 설립 초기부터 윤치창 등 전매국 관련자들이 한국홍삼공사 주주의 한 사람으로 선정되어 논란이 되기도 했다. 본래 재무부(대한민국 재무부)에서는 한국의 특산품인 홍삼(紅蔘)의 해외수출을 촉진시키기 위해서 앞서 재무부 주도로 반관반민(半官半民)의 홍삼판매공사를 설치하였으나 1949년 7월 7일 대통령 이승만의 지시로 폐지되고 홍삼, 인삼 업무는 전매국이 전담하게 되었다. 그리고 해외 수출은 각국에 대표회사를 선정해서 그 회사로 하여금 책임, 수출하게 하였다."
