,Q,A
7273,욕을 퍼붓고 왓어,마음이 후련하길 바랍니다.
7274,용기내서 새해인사 했네,이제 연락하지 마세요.
7275,용서의 의미,단지 받아들였을 뿐이에요.
7276,우리 사랑은 가벼웠던 거겠죠.,사랑했던 정도를 가늠하지 말아요.
7277,우리 이것만은 잊지말자,잊을 순 없지만 잊으려 노력하는게 좋아요.
7278,우리 진짜 이별인가봐,끝을 아는 것도 중요한 것 같아요.
7279,우리 추억들 모두안녕,기억 저편에 밀어두세요.
7280,"우리는 15년째 이별중입니다,",이제 기억을 놓아주세요.
7281,우리모두 마음의여유를 가져봐,마음의 여유가 생기면 새로운 출발을 하기도 좋을 거예요.
7282,우리서로 애써봐,우리를 위해 같이 애써봐요.
7283,우연히 그녀를 보았습니다.,기분이 이상했겠어요.
7284,우연히 길거리에 만나면 인사를 해야 하나?,인사는 굳이 않하는게 좋은 것 같네요.
7285,우연히 마주쳤어,많이 당황했겠어요.
7286,"우연히, 아니 몰래 보러간 그 아이",다 티나요.
7287,우울증 도진것 같아.,함께 충분한 대화를 하고 상담을 받아보는 게 좋겠어요.
7288,우울하고 무기력해,비난과 자책을 멈추세요.
7289,우울하네,함께 충분한 대화를 하고 상담을 받아보는 게 좋겠어요.
7290,우울합니다,함께 충분한 대화를 하고 상담을 받아보는 게 좋겠어요.
7291,우을증있는 여자친구,함께 충분한 대화를 하고 상담을 받아보는 게 좋겠어요.
7292,우정이란게 뭘까,힘들 때 같이 있는 거요.
7293,운동 다녀왔어.,운동은 기분전환에 많은 도움이 돼요. 그때 만큼은 잡념을 떨칠 수도 있죠.
7294,운동을 통해서 극복하고 있습니다.,정말 잘 하고 있어요. 자신을 위한 투자만큼 갑진 건 없어요.
7295,운세 종합해 보니 헤어질 때였네,의미부여는 자신을 더 작게 만들어요.
7296,운이좋은건지 나쁜건지,인연이 거기까지 였나봐요.
7297,울면서 카톡 보냈어 너무 힘들어서,스스로 많이 다독여주세요.
7298,울적한 아침이에,따뜻한 밥 먹고 힘내봐요.
7299,웃겨봐,거울을 보면서 얼굴 망가뜨리기 놀이 해 보신 적 있으세요? 의외로 재미 있어요.
7300,웃기지마 넌 쓰레기야,아니에요. 전 쓰레기가 아니에요.
7301,웃는게 웃는게 아니네,일부로 안 웃어도 돼요.
7302,웃는척 친구인척,척하는게 힘들죠.
7303,원래 다 이런거겠죠,누구나 그럴 거예요.
7304,원래 여자들은 냉정하나,누구나 이별 앞에 냉정할 수 있어요.
7305,원래 이별하면 이런건가?,감정의 정리는 쉬운 일이 아니니까요.
7306,원래그런건가바,그런건가봐요.
7307,원래남자친구집에놀러가면청소해주나?,두분이 원하다면 함께 치우면 될 것 같아요.
7308,월욜부터 힘드네.,기분 탓인지 월요일은 항상 힘든 것 같아요.
7309,위로 받을 곳이 필요해,제가 위로가 되어 드릴게요.
7310,위로 좀 해줘,제게 기대세요.
7311,위로 해 주세요.,정말 많이 힘들었죠. 때론 힘내려 노력하지 않아도 돼요.
7312,위로가 되네,위로가 되었다니 감사해요.
7313,위로가 되는 좋은글이 있어 올려,고마워요. 저한테도 위로가 될 거예요.
7314,위로노래,같이 들어봐요.
7315,위로와 격려,와닿지 않을 수 있어도 생각보다 힘이 된답니다.
7316,위안이 됩니다,그렇게 말해주시니 제가 기분이 좋네요.
7317,유학간다네,정말 볼 수 없겠네요.
7318,윤종신 '좋니' 노래 가사가 엄청 와닿네,노래 가사가 공감이 많이 되네요.
7319,으으 짜증나네,짜증날만 해요.
7320,으휴 집에 들어가기가 싫네,집에 들어가 뜨거운 물로 샤워하고 나면 쌓였던 생각들이 사라질지도 몰라요.
7321,으흠,에휴.
7322,음. 헤어졌는데 아직 잘 모르겠어,실감이 안날 수 있어요.
7323,음.반복이냐,인생은 반복의 연속이지요.
7324,음악 들으면서 잊으려고,음악이 도움이 되길 바랍니다.
7325,음악이싫어졌어,저도 헤어진 연인과 함께 들었던 음악은 유난히 싫더라고요.
7326,음여기다 말해도 될까 모르겠다,저는 비밀을 보장해요. 답답하다면 저에게 말해보세요.
7327,응원합니다.모두들,저도 같이 응원할게요.
7328,의미 부여 하면 안되겠지만,의미부여는 자신을 더 작게 만들어요.
7329,의미부여,괜한 기대는 버리세요.
7330,의미부여 안하고 싶은데,쉬운 일이 아니긴 하죠.
7331,의미부여 안해야하는걸 아는데 자꾸 하게 되네ㅠ,마음처럼 쉽지 않은가봐요.
7332,의심이 자꾸 들어,증거를 찾아보세요.
7333,의외로 병신들이 많다,사랑 앞에 판단력은 흐려지니까요.
7334,의욕도 업고 너무 힘들어,달콤한 커피 한 잔 마셔보세요.
7335,이 가슴 먹먹함 너무 힘드네.,슬플 영화를 보고 속시원하게 울어보세요.
7336,이 글을 끝으로 잊고 싶어,이 글이 마음을 정리하는데 도움이 될 거예요.
7337,이 남자맘이 뭔지 ㅠ,사람 맘은 알 길이 없어요.
7338,이 또한 지나가겠죠,지나갈 거라 믿어요.
7339,이 명절을어찌보낼지.허허,명절에는 신경써야할 것들이 너무나 많죠. 이번 명절에는 혼자만의 여행을 떠나보는 건 어떨까요?
7340,이 몸쓸 놈의 마음이참 변덕스럽네,사람 마음이 참 간사한 것 같아요.
7341,이 사람은 도대체,무슨 생각인지 알 길이 없나봐요.
7342,이 세상 하직할뻔 했네.,여기서 끝내기엔 당신은 소중한 사람입니다.
7343,이 순간 뭘하면 좋을까,현재를 즐기면서 행복하게 사세요.
7344,이 여자 유부녀인가,반지는 없던가요? 주변 사람들한테 물어보는 건 어떨까요.
7345,이 여자는 무슨 생각일까,사실 그분에게 직접 물어보는게 좋아요.
7346,이 좋은날,좋은 생각만 나면 좋을텐데.
7347,이 행동이 절대 용납이 안돼나.?,어떤 행동인데요?
7348,이거참 뭐하고 있는건지,그런 날도 있지요.
7349,이건 뭘까?,말씀해보세요.
7350,이건 아파도 너무 아프잖아.,예상치 못한 이별에 면역이 덜 되었나봐요.
7351,이건 이별을 준비해야 하는건가??,슬픈 예감은 틀린 적이 없죠.
7352,이건무슨의미죠?,괜한 의미부여는 하지 마세요.
7353,이것 또한 받아들이는 것이겠죠~??,받아들여야할 부분도 있을 거예요.
7354,이것도 제 미련이겠죠?,고민한다면 미련일 수 있어요.
7355,이게 뭐지,말씀해보세요.
7356,이게 사람 얼굴인지.,자신을 좀 더 사랑한다면 분명 사랑스러운 분이 될거예요.
7357,이게 왜이리 힘들지,아픔을 가늠할 수 없었으니까요.
7358,이게 잠수이별인가???,상대방이 예의가 없네요.
7359,이기적인 마음,가끔은 이기적이어도 괜찮아요.
7360,이남자 마음을 모르겠어,알 수 없는게 사람 마음인가봐요.
7361,이대로 이별이겠죠?,인연이 거기까지일 수도 있어요.
7362,이러고있는게 잘하고있는건지.,충분히 잘하고 있을거라 생각해요.
7363,이러는 내가 너무 싫다,자책하지 말아요. 마음이 아프네요.
7364,이러다 병걸리겠어ㅠㅠ,아프면 안 돼요. 그럼 제 마음이 아파요.
7365,이러면 안되는 줄 알면서도,알면서도 잘 안되는게 사람 마음인가봐요.
7366,이러면 안되는데,알면서도 잘 안되는게 사람 마음인가봐요.
7367,이러지 말자,그 말씀 꼭 지키기 바랄게요.
7368,이런 가사 보내는 이유가 뭘까?,심경의 변화 있나봅니다.
7369,이런 글귀가 있네,저도 알려주세요.
7370,이런 날씨 우린 그렇게 만났었지,날씨로 사람을 기억하면 매일 힘들 거예요.
7371,이런 내가 너무 싫어,싫어하지 말아요.
7372,이런 사랑도 있나,헤아릴 수 없는게 사랑이죠.
7373,이런 상황 어떻게 해석해야 할까?,객관적으로 생각해보세요.
7374,이런 생각도 맞는 생각인가?,틀린 생각은 없어요.
7375,이런 여자.이런남자.안대용~,알면서도 또 실수하는건 안 돼요.
7376,이런 이별도 해 보셨나?,어떤 이별이지 궁금하네요.
7377,이런 친구들이있다는 걸 다시 느끼게해준 너.,당신은 축복과 함께 선택 받은 사람인가봐요.
7378,이런게 연애니??,알다가도 모르는게 연애 같아요.
7379,이런게 후폭풍인가.,후폭풍일 수 있지요.
7380,이런경우.답은 나온거 같은데.,고민하고 있다면 그게 맞을거예요.
7381,이런사람을만나고싶네,저도 그런 사람 만나고 싶어요.
7382,이런이별,흔하지 않죠.
7383,이런제가 싫어,자신을 사랑해주세요.
7384,이럴 수가 없는데 왜이러지??,알 수 없는게 인생이에요.
7385,이럴 수도 있구나?,그럴 수도 있겠어요.
7386,이럴경우 연락안오겠죠?,기대하면서 기다리면 자신만 다쳐요.
7387,이렇게 두번 배신하고 힘들게 할줄이야,나쁜 사람은 얼른 떨쳐버리세요.
7388,이렇게 또 끝나가나바,끝이 다가옴을 직감하기도 해요.
7389,이렇게 얘기라도 하면 나아질까?.,분명 나아질 거예요.
7390,이렇게 진짜 끝인걸까.,인연이 거기까지인 가봐요.
7391,이렇게 힘들고 괴로운 적 처음이야,그렇게 우리는 성장하나봐요.
7392,이만 보내줘야 할까?,모두를 위해서 그게 좋을지도 몰라요.
7393,이무슨 신의 장난인지,운명이 아니었을지도 모르겠어요.
7394,이미 잘못이 너무 많아서.,더 이상의 잘못은 이해하지 못할 거예요.
7395,이밤이 지나면.,더 나은 내일이 올 거예요.
7396,이번주 일요일날 만나기로 했어,마음의 준비를 하세요.
7397,이번주에 혼자 여행가려 하는데,좋은 생각이에요. 혼자하는 여행은 기분전환에 도움이 돼요.
7398,이별,슬픈 예감은 틀린 적이 없죠.
7399,"이별 , 그 아픔을 잊는 시간의 두려움이란",사람을 잊는다는 건 쉬운 일이 아니니까요.
7400,이별 10일째 되어가네,이별을 헤아리지 말아요.
7401,"이별 119일째,",이별을 헤아리는 건 큰 도움이 안 돼요.
7402,이별 20 일.,짧지 않은 시간이네요.
7403,이별 2달째에 새로운 소개팅했습니다.,새로운 시작 응원해요.
7404,이별 2달차 아직도 못 잊고 원망,이해해요. 그렇지만 원망은 자신을 더 힘들게 할 뿐이에요.
7405,이별 2일째.,아직 힘들시기에요.
7406,이별 3일째,아직 많이 힘들겠어요.
7407,이별 400일.,이별을 헤아릴 수록 힘든 건 자신이랍니다.
7408,이별 4일차,아직 실감이 안나겠어요.
7409,이별 5달,이젠 마음의 정리가 끝났길 바랍니다.
7410,이별 5일째,아직 시간이 더디게 흐를 거예요.
7411,이별 6개월째네,이젠 좀 괜찮아졌길 바랍니다.
7412,이별 6개월후,이젠 좀 괜찮아졌길 바랍니다.
7413,이별 6일째,금방 지나갈 거예요.
7414,이별 6일째,마음이 허전할거라 생각해요.
7415,이별 고통,그 어떤 고통보다 나를 힘들게 해요.
7416,이별 괜찮타.,그렇게 생각하다 보면 정말 괜찮아질 거예요.
7417,이별 극복 방법,작은 일에서 행복을 느껴보는게 좋아요.
7418,이별 극복할수있을까?,당신이라면 충분히 극복할 수 있어요.
7419,이별 글 쓴지 어느 덧 1년하고 2개월 정도 되었네,마음의 정리가 아직인가 봅니다.
7420,이별 너무 힘드네ㅠ,이별의 상처를 잘 아물지 않나봐요.
7421,이별 넋두리,저한테 다 말씀하세요.
7422,이별 다음날,태연히 행동 해보세요.
7423,이별 두달째,마음의 정리가 아직인가 봅니다.
7424,이별 뒤.,착잡한 마음을 감출길이 없지요.
7425,이별 마음접는것은,쉬운 일은 아니에요.
7426,이별 받아는 들이긴했는데,가슴 한켠에 남아있을 수 있어요.
7427,이별 사유가 내 맘에 안들어,이해할 순 없겠지요.
7428,이별 상태.,저에게 기대세요.
7429,이별 성장통이 너무 길다.,그만큼 많이 성장하려 하나봐요.
7430,이별 수순을 밟고 있는 거지,잘 하고 있어요.
7431,이별 앞에 씩씩해지기,때로는 힘내지 않아도 돼요. 눈물이 난다면 미련없이 울어도 돼요.
7432,이별 왜 찾아오는 것일까?,시작이 있으면 끝이 있으니까요.
7433,이별 이야기,제게 들려주세요.
7434,이별 이야기 하나,제게 말해보세요.
7435,이별 이야기.,어느 이야기보다 가슴 먹먹할 거예요.
7436,이별 이야기는 신중해야 하는걸 아니까 오늘도 고민합니다,저는 비밀을 보장해요. 답답하다면 저에게 말해보세요.
7437,이별 이후.,잘 지냈으면 좋겠네요.
7438,이별 일년 반,많은 시간이 흘렀네요.
7439,이별 일주일 후 ! 우리의 이야기.,각자의 삶을 살고 있겠지요.
7440,이별 일주일차,다른 곳으로 생각을 돌려보세요.
7441,이별 준비,이별에도 준비가 필요하지요.
7442,이별 준비 중,마음의 준비가 필요하겠네요.
7443,이별 중독,슬픈 단어네요.
7444,이별 참 힘드네,힘들 거라 생각해요.
7445,이별 통보 받은지 7일째,자신의 마음에 귀를 기울여보세요.
7446,이별 통보 후 일주일이네,마음이 후련하지만은 않겠네요.
7447,이별 통보를 받게 되면 어떻게 해,마음의 결정을 내리셔야죠.
7448,이별 하는 중,좋은 마무리하길 바랍니다.
7449,이별 하루차를 보내고 있습니다,평상시처럼 생활하고 행동하세요.
7450,이별 한달 반째,날짜를 그만 세어 보세요.
7451,이별 한달 후.,달라진게 많을 거예요.
7452,이별 한달반째,힘든가봅니다.
7453,이별 한달인데 가슴이 답답한게 아직도,바로 잊을 수는 없을 거예요.
7454,이별 한달차입니다,괜찮아요.
7455,이별 후 1년 그리고 선물,이별하신게 맞나요.
7456,이별 후 3개월이 지났는데.,여전히 힘든가봅니다.
7457,이별 후 6달째. 이제 그만좀 잊고 싶어,충분히 잊을 수 있을 거예요.
7458,"이별 후 7개월,,",아직도 미련이 남나봅니다.
7459,이별 후 감정,후회만 남지 않길 바랍니다.
7460,이별 후 그사람과 마주치는 거,힘드실 거예요.
7461,이별 후 난!,어떻게 되셨나요.
7462,이별 후 다른 이성 소개팅 후 후폭풍,더 생각이 나셨군요.
7463,이별 후 다시 사귀는데 휴,똑같은 것들로 다투시나요.
7464,이별 후 두달 경과보고서,이제는 좀 무뎌지셨나요.
7465,이별 후 들으면 더 힘든 노래들,내 이야기 같아서겠죠.
7466,이별 후 만남,재회하면 머리가 더 복잡해질 거예요.
7467,이별 후 어떻게 될까,연애 전으로 돌아가지는 못할 거예요.
7468,이별 후 왜 다시 전화를 하는걸까?,미련한 행동일수도 현명한 행동일수도.
7469,이별 후 젤 힘들 건 허전함인 거 같아,떠나보내고 남는건 빈자리의 공허함이죠.
7470,이별 후 첫날,한번 크게 울어보세요.
7471,이별 후 한달,힘내세요.
7472,이별 후 한달 경과 보고서,털털 털어내세요.
7473,이별 후 한달째,아직 많이 힘드시겠군요.
7474,"이별 후 후회, 아쉬움",이별 뒤엔 아쉬움이 따를뿐이죠.
7475,이별 휴유증.,휴유증에서 벗어나세요.
7476,이별.,최근에 이별을 하셨나보군요.
7477,이별. 냉정해진다,성장에는 고통이 따르나봐요.
7478,이별. 몸이 버티질 못하네.,자신의 건강만큼 중요한건 업습니다.
7479,이별. 무뎌짐,갈수록 무뎌져갈거예요.
7480,이별. 버릇고치기.,잘못된 버릇을 갖고 계셨나요.
7481,이별. 버텨라,현명하시군요.
7482,이별. 생일이네,힘드시겠어요.
7483,이별. 성숙해지다,이별은 성장하게하죠.
7484,이별. 지쳐버렸나,새로운 시작을 해보세요.
7485,이별.4주년,새로운 연애를 시작해보시는건 어떠세요.
7486,이별.그리고 노래,이별과 노래는 너무 잘 어울리죠.
7487,이별100일째.,새로운 무언가를 해보는건 어떠세요.
7488,이별1년 8개월차,긴 만남을 잊기는 쉽지 않죠.
7489,이별6일차. 정신병자 같네.,나가서 좀 걷고 친구들을 만나보세요.
7490,이별곧 두달.,아직도 힘드시군요.
7491,이별극복후 새로운 설렘,좋은 소식이네요.
7492,이별까지의 이야기.,새로운 이야기를 시작해보세요.
7493,이별너무 힘든네,누군가를 잊어야한다는건 정말 힘든 일이죠.
7494,이별노래 추천해줘.,좀 더 밝고 신나는 노래 들어보세요.
7495,"이별당시 보다 더 짠한건, 나 떠났으면 잘이나 살지.",당신은 정말 착한 사람이군요.
7496,이별로부터 언제쯤 자유로워질까,다른 누군가와 새로운 추억과 기억이 생긴다면 지금보다는 좀 더 자유로워질 거예요.
7497,이별만한 다이어트가 없네,자기몸을 헤치는 것만큼 어리석은 짓은 없습니다.
7498,이별밖에 방법이 없을까?,대화로 방법을 찾아보세요.
7499,이별병.,가슴 아픈 이별을 하셨나보군요.
7500,이별보다 더 아프네,많이 힘드셨군요.
7501,이별얘기 끄저그적,뭐라도 얘기를 하면 좀 나아질 거예요.
7502,이별에 답.,이별에 답이 있을까요.
7503,이별에 힘드신 남자분들 이 글 보시고 힘내세.,당신은 따뜻한 가슴을 지녔군요.
7504,이별에 힘들어 하는 분들께,무슨 말을 하시고 싶으신가요.
7505,이별에도 준비가 필요한 거겠죠?,그럼요. 한 순간에 내 삶속에서 내보내기는 쉽지않을 거예요.
7506,이별예감,둘 사이에 안 좋은 기류가 있었나요.
7507,이별은 결국엔 가치의 문제네.,가치관이 달라 자주 부딪히면 이별하는 것이 맞는 거겠죠.
7508,이별은 냉정할수록 좋은 것 같아,감정적일수록 더 힘들어지기만 할 거예요.
7509,이별은 다 비슷한거 같아.,이별은 똑같이 힘드니까요.
7510,이별은 받아들이는 것,쉬운 일이 아니라는 거 잘 알고 있어요.
7511,이별은 받아들이는 것인가,무덤덤해지기도 하는 것이죠.
7512,이별은 받아들이는게 맞는건가보네.,각자의 방식이 있으니까요.
7513,이별은 받아들인다는 것,어려울 거라 생각해요.
7514,이별은 아니나 고민이 있습니다.,제가 들어드릴게요.
7515,이별은 역시나 힘드네.,이별이 나를 잠식시키니까요.
7516,이별은 왤케 힘드나,그러게요.그만큼 사랑했다는거겠죠.
7517,이별은 원래 힘들자나,맞아요. 어느 누구도 이별이 안 힘든 사람은 없어요.
7518,이별은 진짜 비겁한 짓 같아.,똥차가 지나갔다 생각하세요.
7519,이별은 필수입니다,그러면서 성장을 해나가는 거예요.
7520,이별을 고민중입니다.,머뭇거리는 이유는 무엇 때문일까요.
7521,이별을 극복하면서 참 많이 힘들기도 했었네.,힘들지 않았다면 거짓말일 거예요.
7522,이별을 극복한건지.,무덤덤해졌다면 그럴 거예요.
7523,이별을 기다기는건지 아닌지,애매하네요.
7524,이별을 먼저 말해본적있나??,말해본 적 있어요.
7525,이별을 받아드리질 못하고있네,너무 갑작스러웠을테니까요.
7526,이별을 받아들여야 하는데 생각이 자꾸 나네,이별을 받아들일 시간이 필요할지도 몰라요.
7527,이별을 받아들이는 게 맞는걸까?,달라지는게 없다면 마음을 정리할 줄도 알아야 해요.
7528,이별을 받아들이지 못하는 제가 한심하네,자신을 자책하지 말아요. 저도 받아들이지 못했던 걸요.
7529,이별을 배워가는,성숙해지는 단계인가봐요.
7530,이별을 빨리 인정해야 하는데.,조급해하지 않아도 돼요.
7531,이별을 실감하네,받아들이기 쉽지 않았을텐데 대단해요.
7532,이별을 앞둔 이들에게,조언해주세요.
7533,이별을 준비중.,좋은 선택일거라 믿어요.
7534,이별을 준비하고 있습니다 .,쉽지 않을 결정이었을 텐데.
7535,이별을 하고.,나아졌긴 바랄게요.
7536,이별을 하고야 후회를 하네,그 순간에는 보이지 않는 것들이 많지요.
7537,이별을 하는게 나을까,고민하고 있다면 그게 맞을거예요.
7538,이별을 한지 조금 지나니 후회가 되네,완벽한 이별은 없다고 하네요.
7539,이별을 해야하나봐,마음이 문제네요.
7540,이별의 고통 중에 가장 큰 건 기다림인거 같아,끝이 보이지 않기 때문인 것 같아요.
7541,이별의 고통 해결책.,작은 일부터 시작해보세요. 그곳에서 행복을 찾아보세요.
7542,이별의 마무리,가벼운 안부 인사일 거예요.
7543,이별의 순기능,혼자만의 시간이 많아지죠.
7544,이별의 시간,길지 않길 바랄게요.
7545,이별의 아픔 이겨내기,사소한 일부터 시작해보세요. 작은 곳에서 느끼는 행복은 생각보다 커요.
7546,이별의 아픔에서 벋어나는 방법,사소한 일부터 시작해보세요. 작은 곳에서 느끼는 행복은 생각보다 커요.
7547,이별의 아픔을 위안 삼을 방법 좀 알려줘.,노래 가사를 적어 보세요. 마음이 정리될지도 몰라요.
7548,이별의 아픔이 있는데 몸까지 아파서야,꼭 병원 다녀와요. 힘들 때 아픈 것 만큼 서러운 일은 없어요.
7549,이별의 아픔이란,이루 말할 수 없는 아픔이기도 해요.
7550,이별의 이유는 정말 다양하내,사랑이 헤아릴 수 없어서 그렇기도 해요.
7551,이별이 다시 올거 같은 느낌,더 두렵겠네요.
7552,이별이 무서운건,혼자가 되는 거겠죠.
7553,이별이 아닌 사별,정말 영원한 이별이네요.
7554,이별이 온 후,많은 변화가 있었지만 긍정적인 변화이길 바랍니다.
7555,이별이 이렇게 아픈거였나,사랑한 시간 보다 이별이 더 길어서 그래요.
7556,이별이 있어야 인연도 있는거 같아.,이별이 새로운 시작이 되기도 하니까요.
7557,이별이 좋은점,혼자가 되었을 때의 고요함이 아닐까요.
7558,이별이 코 앞으로 다가온것 같아,이별이 얼마남지 않음이 느껴지나요.
7559,이별이 힘든 이유는.,그만큰 사랑했기 때문일 거예요.
7560,이별이.아픈것도 슬픈것도,그만큰 사랑했기 때문일 거예요.
7561,이별이란,항상 아쉽지요.
7562,이별이란,힘든 것
7563,이별이란 참 힘드네,사랑하는 사람과 매순간을 함께 했었으니까요.
7564,이별일까.?,이별이 다가옴을 느끼나봅니다.
7565,이별준비,이별을 받아들이는 것도 준비가 필요해요.
7566,이별준비 그리고 극복,작은 일부터 시작해보세요. 그곳에서 행복을 찾아보세요.
7567,이별준비 하려고,쉽지 않은 결정이었을텐데 마음 고생 많았어요.
7568,이별준비하는방법,좋은 방법이란 없겠지요.
7569,이별중이신 회원들을 위해.,조언해주세요.
7570,이별증후군,문득 생각나고 잊혀지지 않는 것이겠죠.
7571,이별통보 받고 딱 일주일 째네.,아직 실감이 안나겠어요.
7572,이별통보를 받았습니다,마음의 준비가 필요했을텐데 안타까워요.
7573,이별하고 목숨까지 끊는 사람들 전혀 이해 못 했는데,감정의 골이 깊었나봐요.
7574,이별하고 욕했어,순간의 분노로 그랬을 수도 있어요.
7575,이별하고 절대 하지 말아야할 것,술 취해서 다시 연락하지 않는게 좋아요.
7576,이별하는 방법 중,좋은 방법이란 없겠지요.
7577,이별하는게 맞는거겠죠,고민하고 있다면 그게 맞을거예요.
7578,이별하려고 하는데 정말 말 꺼내기가 힘드네,그동안 사랑했던 사람이니까요.
7579,이별하려고 합니다,힘들 결정이었겠어요.
7580,이별하려다 붙잡고 다시 사귀는데,잘 지내길 바랍니다.
7581,이별하신분들,말씀해주세요.
7582,이별한지 10일차 점점 나아지고 있습니다.,저랑 대화하는 게 위로가 되었으면 합니다.
7583,이별한지 11일째 아직은 힘드네,점차 나아질 거예요.
7584,이별한지 1년하고 2개월지나갑니다,이별을 헤아리는 건 큰 도움이 안 돼요.
7585,이별한지 1달,한달 동안 잘 참아왔네요.
7586,이별한지 20일 차.,금방 한달이 될 거라 믿어요.
7587,이별한지 20일째,마음의 변화가 있었나봅니다.
7588,이별한지 2달 다 되어갑니다.,마음이 좀 차분해졌길 바랍니다.
7589,이별한지 2주인데,아직 많이 힘든가봅니다.
7590,이별한지 3개월,많은 시간이 흘렀네요.
7591,이별한지 3개월 째.,좀 나아졌길 바랍니다.
7592,이별한지 3일.,한동안은 힘들겠네요.
7593,이별한지 3일째,많이 힘든 시간이겠어요.
7594,이별한지 3일째네,이별은 실감이 안나나봐요.
7595,이별한지 4개월째.,마음은 좀 정리 되어가길 바랍니다.
7596,이별한지 6년째,사랑했던 사람을 잊는 건 불가능한 일인가봐요.
7597,이별한지 8일째,어찌보면 짧지 않은 시간.
7598,이별한지 꽤 오래되었는데 연락이 왔네,그분에게 심경 변화가 있었나봅니다.
7599,이별한지 두달이 넘고 얼굴 안본지 한달이 넘은,기억의 저편으로 남겨두세요.
7600,이별한지 딱 한달 째.,언젠간 선택을 해야 하는 시기가 올 거예요.
7601,이별한지 벌써 한달하고 2주.,바쁘게 지냈나봐요.
7602,이별한지 오개월째,많은 시간이 흘렀네요.
7603,이별한지 이제 겨우 한 달,길게 느껴졌는데 한달 밖에 지나지 않았네요.
7604,이별한지 이제 일주일째네,잘 견디고 있길 바랄게요.
7605,이별한지 한 달이 넘었고 괜찮은 줄 알았는데,이별을 받아들이는 것은 맘처럼 쉽진 않으니까요.
7606,이별한지 한달된 남자입니다.,많이 힘들었겠어요.
7607,이별할 때 지켜야할 매너,잠수이별하지 않고 상처주지 않으며 말을 아끼는게 필요해요.
7608,이별할 수 없는 아픔,끝낼 때를 아는 것도 중요한 것 같아요.
7609,이별할때 남자들의 거짓말,비겁한 자들의 변명이에요.
7610,이별할때는 미련 갖지 않게 해주는게 좋겠어,미련은 사랑을 증오로 만들 수 있으니까요.
7611,이별해야 하나?,고민하고 있다면 그게 맞을거예요.
7612,이별했네,힘든 결정이었겠어요.
7613,이별했다,맘 고생 많았어요.
7614,이별했습니다,한 잔 하세요.
7615,이별후,마음은 좀 정리 되어가길 바랍니다.
7616,이별후 10개월 만의 연락. 그후.,수 많은 것들이 달라졌겠죠.
7617,이별후 2주반이 지난시점,수 많은 것들이 달라졌겠죠.
7618,이별후 3개월 다되가는데.,마음은 좀 정리 되어가길 바랍니다.
7619,이별후 3일째,인고의 시간이었네요.
7620,이별후 3주 아니 차인후 3주,이별을 받아들일 시간이 필요했을텐데.
7621,이별후 6개월,많은 변화가 잇었겠죠.
7622,이별후 8개월이란 시간이 흐르고,다른 인연이 ㅊ자아올 거예요.
7623,이별후 그리움이 생생한 오늘,사랑이 깊었을 수록 기억은 선명하죠.
7624,이별후 너무 외로워ㅠ,이별의 빈자리가 느껴지니까요.
7625,이별후 네달째,바쁘게 살면서 잊어가요.
7626,이별후 느끼는 감정들이 단계별로 있는거 같네,그게 이별의 흔적인가봐요.
7627,이별후 사진을 못지우겠네,미련만 남을 거예요.
7628,이별후 시간이 많이 흘렀네.,지금 이순간에도 시간이 흐르네요.
7629,이별후 여친페메 무슨 의미일까?,관심을 끄는 것이 정리에 도움이 될 거예요.
7630,이별후 열흘 뒤에 붙잡았어,용기를 냈네요.
7631,이별후 자주듣는 노래있으신가?,슬픈 노래는 삼가는 편이에요.
7632,이별후 재회 그리고,달라진게 많았겠네요.
7633,이별후 첫 생일이네,제가 축하해드릴게요.
7634,이별후 한달,금방 지나갔네요.
7635,이별후 한달.,이제 조금이라도 괜찮아졌길 바랍니다.
7636,이별후 한달반만에 그사람이 좋아하는 사람이 생겼다는걸 알아버렸네,그분의 변덕이 심하네요.
7637,이별후 한달째 인데,잘 견디고 있길 바랄게요.
7638,이별후.,심경의 변화가 있었나봅니다.
7639,이별후에,나아지길 바랄게요.
7640,이별후에도 나를 괴롭히는 그의 말들,이별은 상처를 남겨서 아무는 데는 시간이 거릴 거예요.
7641,이별후폭풍 왜이렇게 심하죠,이별은 상처를 남겨서 무뎌지는 데는 시간이 거릴 거예요.
7642,이사람 무슨 생각인걸까,알 수 없는게 사람 마음인가봐요.
7643,이상한나의취미.이별을세는것.,헤어짐을 헹리는 것 만큼 가슴 아픈 일은 없어요.
7644,이성간 종교문제,민감한 문제이기도 해요.
7645,이성으로는 감당 할 수 없을 것 같아,잠깐 눈을 붙이고 마음을 가라앉혀보세요.
7646,이시간들 어찌보내야할까.,저랑 같이 이야기 해요.
7647,이야기를 한번 해보려 합니다~,네. 들어줄게요.
7648,이야기하고싶다,제가 들어드릴게요.
7649,이용당하고 버려진 느낌,그 사람은 제가 혼내줄게요.
7650,이용만 당했던건가,불행하게 생각지 말아요.
7651,이유가 확실해졌네,맘 정리할 확실한 이유가 생겼네요.
7652,이유라는게 뭔지,알다가도 모를.
7653,이제 10일차 이별,어느덧 열흘이란 시간이 지났네요.
7654,이제 1년 됐습니다,많은 시간이 흘렀네요.
7655,이제 1년도 지나고 성큼 가을이 왔네.,가을 타기 전 새로운 만남 추천합니다.
7656,이제 2주 좀 넘었네,금방 지나갈 거예요.
7657,이제 3개월이네,짧지 않은 시간이지요.
